ACD,ENSG00000119655
ACTL6A,ENSG00000119801
AGO1,ENSG00000124107
AGO3,ENSG00000126759
AGO4,ENSG00000128585
AIM2,ENSG00000130038
ANKRD31,ENSG00000131236
APBB1,ENSG00000131473
APCS,ENSG00000131966
ASH2L,ENSG00000133048
ATN1,ENSG00000133063
ATXN7,ENSG00000134516
BABAM1,ENSG00000134827
BABAM2,ENSG00000135677
BAP1,ENSG00000136279
BMAL1,ENSG00000137563
BMI1,ENSG00000137575
BRCC3,ENSG00000137801
CARM1,ENSG00000138413
CBFB,ENSG00000141012
CBX1,ENSG00000143520
CBX2,ENSG00000143556
CBX3,ENSG00000143621
CBX4,ENSG00000144589
CBX5,ENSG00000147533
CBX6,ENSG00000147813
CBX8,ENSG00000148334
CDK4,ENSG00000148346
CDK6,ENSG00000149636
CDK8,ENSG00000149925
CHD3,ENSG00000156261
CHD4,ENSG00000156575
CLOCK,ENSG00000158825
CNOT7,ENSG00000160209
CREBBP,ENSG00000160213
CTBP1,ENSG00000163131
CTBP2,ENSG00000163563
CTCF,ENSG00000163661
DDX21,ENSG00000163932
DDX6,ENSG00000164047
DEK,ENSG00000164687
DMAP1,ENSG00000164821
DNMT1,ENSG00000165280
DNMT3A,ENSG00000166226
DNMT3B,ENSG00000166710
DPY30,ENSG00000167996
E2F1,ENSG00000169385
E2F3,ENSG00000169397
E2F6,ENSG00000169919
EED,ENSG00000170043
EHMT2,ENSG00000170266
EP300,ENSG00000170515
EP400,ENSG00000170909
EZH2,ENSG00000171236
FAM135B,ENSG00000171302
FKBP6,ENSG00000172232
FOXA1,ENSG00000173083
FOXJ2,ENSG00000173692
FOXK2,ENSG00000173801
GATA1,ENSG00000176978
